Gene Target,Interacting Gene,Tissue,Enrichr Library
ADH1A,PHF8,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,MXI1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,FOS,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCFL,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CBX3,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,RAD21,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,HDAC2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,RAD21,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CHD1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1A,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,TAL1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,HDAC2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,ELF1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CREB1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,ELF1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CREB1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,POLR2AphosphoS2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,SMARCB1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,TBP,Unspecified,ENCODE_TF_ChIP-seq_2015
